,Unnamed: 0,compound,negative,neutral,positive,screen_name,created_at,full_text,full_text_3,retweet_count,favorite_count,user_mentions
0,0,-0.6486,0.392,0.418,0.19,TheStalwart,2019-03-20 13:49:34,RT Sucks now Sucks Sucks now Always sucked First two were good Overrated Meltdown Never seen it Who cares Seriously W ,-Sucks now -Sucks -Sucks now -Always sucked -First two were good -Overrated -Meltdown -Never seen it -Who cares -Seriously? -Will never see it -Old -Real old -Too long -I think there was a big tree? https://t.co/W6K0dHVzSF,3,0,"[{""screen_name"": ""dashbot"", ""name"": ""Dashiell Bennett"", ""id"": 95356199, ""id_str"": ""95356199"", ""indices"": [3, 11]}]"
1,1,-0.34,0.138,0.862,0.0,TheStalwart,2019-03-20 13:50:25,Its crazy that from here on out the days are already going to start getting shorter ,,0,16,[]
2,2,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 13:57:01, Neither Theyre all characters in a show that suits their purposes and raises their celebrity,,2,64,"[{""screen_name"": ""IvanTheK"", ""name"": ""Ivan the K\u2122"", ""id"": 197869772, ""id_str"": ""197869772"", ""indices"": [0, 9]}]"
3,3,0.5994,0.0,0.0,1.0,TheStalwart,2019-03-20 13:57:34, Lmao,,0,2,"[{""screen_name"": ""dougtee"", ""name"": ""doug tee"", ""id"": 195157522, ""id_str"": ""195157522"", ""indices"": [0, 8]}, {""screen_name"": ""kvassily"", ""name"": ""Kevin Vassily"", ""id"": 1072988148, ""id_str"": ""1072988148"", ""indices"": [9, 18]}]"
4,4,0.4019,0.0,0.526,0.474,TheStalwart,2019-03-20 14:27:18, Its definitely the latter,,0,5,"[{""screen_name"": ""ReformedBroker"", ""name"": ""Downtown Josh Brown"", ""id"": 22522178, ""id_str"": ""22522178"", ""indices"": [0, 15]}]"
5,5,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 14:28:17, The BetthoBayto divide seems to be Texans vs NonTexans,,0,4,"[{""screen_name"": ""ReformedBroker"", ""name"": ""Downtown Josh Brown"", ""id"": 22522178, ""id_str"": ""22522178"", ""indices"": [0, 15]}]"
6,6,0.3612,0.077,0.765,0.158,TheStalwart,2019-03-20 14:29:16, nah youre good People who call him Baydo are the same people who pronounce it Chipolte,,0,17,"[{""screen_name"": ""ReformedBroker"", ""name"": ""Downtown Josh Brown"", ""id"": 22522178, ""id_str"": ""22522178"", ""indices"": [0, 15]}]"
7,7,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 14:30:17, Its a markets show,,0,0,"[{""screen_name"": ""tdyja"", ""name"": ""tdyja"", ""id"": 306917799, ""id_str"": ""306917799"", ""indices"": [0, 6]}]"
8,8,0.4588,0.0,0.88,0.12,TheStalwart,2019-03-20 14:31:03,I cant believe it took this long for someone to write a big piece on Shen Yun in the major media Glad finally did it ,,2,32,"[{""screen_name"": ""jiatolentino"", ""name"": ""Jia Tolentino"", ""id"": 308779730, ""id_str"": ""308779730"", ""indices"": [104, 117]}]"
9,9,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 14:32:35,Speaking of which made me this ,,0,7,"[{""screen_name"": ""kntau"", ""name"": ""Kenneth Hughes"", ""id"": 562211601, ""id_str"": ""562211601"", ""indices"": [19, 25]}]"
10,10,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:03:43,Actually his name is Robert Francis could be the new universal New Yorker caption,,11,91,[]
11,11,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:19:22,See ,,5,36,[]
12,12,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:26:16,RT ,@TheStalwart https://t.co/ifNXJfYXXY,1,0,"[{""screen_name"": ""NatBullard"", ""name"": ""Nathaniel Bullard"", ""id"": 22751329, ""id_str"": ""22751329"", ""indices"": [3, 14]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [16, 28]}]"
13,13,0.4588,0.0,0.625,0.375,TheStalwart,2019-03-20 15:28:16,RT Oh my goodness Youre right ,@TheStalwart Oh my goodness. You're right. https://t.co/UG75NoXljM,1,0,"[{""screen_name"": ""NatBullard"", ""name"": ""Nathaniel Bullard"", ""id"": 22751329, ""id_str"": ""22751329"", ""indices"": [3, 14]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [16, 28]}]"
14,14,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:29:00,RT ,@TheStalwart https://t.co/G1ipOicdFK,2,0,"[{""screen_name"": ""harryh"", ""name"": ""Harry Heymann"", ""id"": 4558, ""id_str"": ""4558"", ""indices"": [3, 10]}, {""screen_name"": ""TheStalwart"", ""name"": ""Joe Weisenthal"", ""id"": 14096763, ""id_str"": ""14096763"", ""indices"": [12, 24]}]"
15,15,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:29:51,Looking forward to his question on some issue relating to the precise wording of the Humphrey Hawkins act and whether the Fed has been acting accordingly ,,1,3,[]
16,16,0.0,0.0,1.0,0.0,TheStalwart,2019-03-20 15:36:08,Just as Trump visits Ohio and excoriates GM Ford announces a 900 million plan to build electric vehicles in Michigan ,,2,7,[]
